,Unnamed: 0.1,Unnamed: 0,stem_word,most_similar_words,new_word_id,similar_word,score,Relevant_to_study,0
52,10,,chat_gpt,,,speculative,,, speculative
53,11,,chat_gpt,,,speculative,,, speculative
54,12,,chat_gpt,,,speculative,,, speculative
55,13,,chat_gpt,,,unconvinced,,, unconvinced
60,18,,chat_gpt,,,dubious,,, dubious
61,19,,chat_gpt,,,skeptical,,, skeptical
62,20,,chat_gpt,,,doubtful,,, doubtful
63,21,,chat_gpt,,,wavering,,, wavering
64,22,,chat_gpt,,,mistrustful,,, mistrustful
65,23,,chat_gpt,,,disbelieving,,, disbelieving
66,24,,chat_gpt,,,skeptical,,, skeptical
69,27,,chat_gpt,,,doubtful,,, doubtful
71,29,,chat_gpt,,,unconvinced,,, unconvinced
72,30,,chat_gpt,,,skeptical,,, skeptical
74,32,,chat_gpt,,,speculative,,, speculative
75,33,,chat_gpt,,,dubious,,, dubious
76,34,,chat_gpt,,,mistrustful,,, mistrustful
78,36,,chat_gpt,,,skeptical,,, skeptical
79,37,,chat_gpt,,,skeptical,,, skeptical
81,39,,chat_gpt,,,doubtful,,, doubtful
82,40,,chat_gpt,,,dubious,,, dubious
84,42,,chat_gpt,,,unconvinced,,, unconvinced
85,43,,chat_gpt,,,unreliable,,, unreliable
86,44,,chat_gpt,,,mistrusting,,, mistrusting
87,45,,chat_gpt,,,speculative,,, speculative
89,47,,chat_gpt,,,"unsure""",,," unsure"""
